Резултат_Кенг,count,cumsum
0.0,9,9
3.0,12,21
4.0,5,26
6.0,32,58
7.0,14,72
8.0,11,83
9.0,45,128
10.0,54,182
11.0,47,229
12.0,59,288
13.0,84,372
14.0,79,451
15.0,89,540
16.0,100,640
17.0,121,761
18.0,132,893
19.0,150,1043
20.0,176,1219
21.0,190,1409
22.0,187,1596
23.0,157,1753
24.0,206,1959
25.0,234,2193
26.0,231,2424
27.0,241,2665
28.0,222,2887
29.0,246,3133
30.0,232,3365
31.0,256,3621
32.0,214,3835
33.0,207,4042
34.0,243,4285
35.0,231,4516
36.0,197,4713
37.0,233,4946
38.0,204,5150
39.0,217,5367
40.0,226,5593
41.0,221,5814
42.0,193,6007
43.0,195,6202
44.0,182,6384
45.0,177,6561
46.0,156,6717
47.0,165,6882
48.0,153,7035
49.0,162,7197
50.0,146,7343
51.0,133,7476
52.0,131,7607
53.0,107,7714
54.0,102,7816
55.0,109,7925
56.0,83,8008
57.0,103,8111
58.0,84,8195
59.0,70,8265
60.0,76,8341
61.0,67,8408
62.0,58,8466
63.0,51,8517
64.0,67,8584
65.0,57,8641
66.0,49,8690
67.0,35,8725
68.0,34,8759
69.0,32,8791
70.0,34,8825
71.0,27,8852
72.0,27,8879
73.0,39,8918
74.0,29,8947
75.0,17,8964
76.0,9,8973
77.0,13,8986
78.0,24,9010
79.0,7,9017
80.0,4,9021
81.0,5,9026
82.0,7,9033
83.0,10,9043
84.0,5,9048
85.0,6,9054
86.0,7,9061
87.0,1,9062
88.0,2,9064
90.0,4,9068
91.0,1,9069
92.0,1,9070
96.0,1,9071
100.0,2,9073
