Резултат_ПМС,count,cumsum
0.0,252,252
0.13,2,254
0.25,47,301
0.38,2,303
0.5,189,492
0.63,2,494
0.75,48,542
0.88,2,544
1.0,176,720
1.13,1,721
1.25,42,763
1.5,155,918
1.63,1,919
1.65,1,920
1.75,44,964
1.88,1,965
2.0,130,1095
2.13,2,1097
2.2,1,1098
2.25,32,1130
2.3,1,1131
2.38,1,1132
2.4,1,1133
2.45,2,1135
2.5,165,1300
2.6,2,1302
2.63,2,1304
2.75,47,1351
2.88,1,1352
3.0,119,1471
3.13,1,1472
3.2,2,1474
3.25,44,1518
3.35,1,1519
3.38,3,1522
3.4,1,1523
3.45,1,1524
3.5,122,1646
3.55,1,1647
3.63,1,1648
3.75,38,1686
3.88,1,1687
4.0,98,1785
4.1,3,1788
4.13,1,1789
4.25,35,1824
4.35,1,1825
4.5,85,1910
4.55,1,1911
4.63,4,1915
4.7,1,1916
4.75,22,1938
4.8,4,1942
5.0,62,2004
5.1,1,2005
5.13,1,2006
5.15,1,2007
5.2,1,2008
5.25,33,2041
5.3,2,2043
5.35,1,2044
5.38,2,2046
5.5,57,2103
5.55,1,2104
5.6,1,2105
5.75,21,2126
5.8,1,2127
5.85,2,2129
5.88,2,2131
6.0,79,2210
6.1,1,2211
6.2,1,2212
6.25,25,2237
6.38,1,2238
6.45,1,2239
6.5,63,2302
6.55,1,2303
6.63,2,2305
6.7,2,2307
6.75,22,2329
6.8,1,2330
6.88,2,2332
7.0,62,2394
7.25,19,2413
7.3,2,2415
7.35,1,2416
7.4,1,2417
7.5,48,2465
7.55,1,2466
7.6,1,2467
7.63,1,2468
7.7,1,2469
7.75,18,2487
7.85,1,2488
8.0,50,2538
8.1,3,2541
8.25,17,2558
8.3,2,2560
8.35,2,2562
8.45,1,2563
8.5,41,2604
8.6,1,2605
8.63,1,2606
8.75,8,2614
8.88,1,2615
9.0,27,2642
9.05,1,2643
9.1,1,2644
9.13,4,2648
9.15,1,2649
9.25,21,2670
9.35,1,2671
9.45,1,2672
9.5,27,2699
9.63,1,2700
9.75,8,2708
9.88,1,2709
9.9,1,2710
10.0,31,2741
10.13,1,2742
10.15,1,2743
10.2,1,2744
10.25,13,2757
10.45,1,2758
10.5,32,2790
10.55,1,2791
10.63,2,2793
10.75,15,2808
10.85,1,2809
10.9,1,2810
11.0,23,2833
11.25,10,2843
11.5,27,2870
11.6,1,2871
11.63,2,2873
11.75,10,2883
12.0,37,2920
12.1,1,2921
12.15,1,2922
12.25,18,2940
12.3,1,2941
12.35,2,2943
12.45,1,2944
12.5,25,2969
12.6,1,2970
12.63,1,2971
12.7,1,2972
12.75,13,2985
