Област,top_adm_cl_scores,low_adm_cl_scores,adm_ave_class_sc
Благоевград,0.5131588446077436,0.4202844204396141,0.4644057144345099
Бургас,0.6768542653893889,0.5386495087028089,0.5984845874305134
Варна,0.6906382534582861,0.5614864027536182,0.6187854760991925
Велико Търново,0.0,0.0,0.0
Видин,0.456518888076959,0.456518888076959,0.456518888076959
Враца,0.5539341774521743,0.45839676785336353,0.5039063767681338
Габрово,0.49744841369488507,0.49744841369488507,0.49744841369488507
Добрич,0.4122023800723554,0.4122023800723554,0.4122023800723554
Кърджали,0.0,0.0,0.0
Кюстендил,0.5129381367322535,0.4417265426848111,0.4760025102349012
Ловеч,0.4731804607446392,0.4731804607446392,0.4731804607446392
Монтана,0.4963479595510024,0.4963479595510024,0.4963479595510024
Пазарджик,0.4707432678602429,0.41707107763582724,0.44374933614606193
Перник,0.46834185998135613,0.46834185998135613,0.46834185998135613
Плевен,0.5071034100211849,0.5071034100211849,0.5071034100211849
Пловдив,0.7183871198386087,0.5661184882505541,0.6377242587997597
Разград,0.4567603669636079,0.4567603669636079,0.4567603669636079
Русе,0.6201491834394656,0.502945852178771,0.5584813869261275
Силистра,0.4568713885774015,0.4568713885774015,0.4568713885774015
Сливен,0.5131269063269756,0.4374164593922539,0.4737617065407949
Смолян,0.4452949879800146,0.4452949879800146,0.4452949879800146
София област,0.4832671291829606,0.4127384358022098,0.44661271698598065
София-град,0.8193096966313662,0.5373510620349594,0.6731334428785742
Стара Загора,0.5197808549522164,0.3991010921309084,0.44850716217780134
Търговище,0.0,0.0,0.0
Хасково,0.5073688218012815,0.43437954859848904,0.46945781470435427
Шумен,0.490870813863209,0.42467077416467675,0.45657254466090474
Ямбол,0.4708595601467837,0.40107150284225934,0.43456685494376573
