Област,badm,top_student,class_score,class_rank
Благоевград,1,0.6788116394727349,0.5131588446077436,34.0
Благоевград,1,0.4665148548555816,0.4202844204396141,124.0
Бургас,1,0.7640599178073781,0.6768542653893889,6.0
Бургас,1,0.6226696424276458,0.5879731222097925,17.0
Бургас,1,0.5599619191126645,0.5386495087028089,28.0
Варна,1,0.8565639578592595,0.6906382534582861,5.0
Варна,1,0.6412944112404745,0.6109848778599319,13.0
Варна,1,0.5913661397007233,0.5614864027536182,21.0
Видин,1,0.6138452074695133,0.456518888076959,73.0
Враца,1,0.6931958990335224,0.5539341774521743,24.0
Враца,1,0.5031789541724444,0.45839676785336353,69.0
Габрово,1,0.6925958308031622,0.49744841369488507,45.0
Добрич,1,0.4975372377377067,0.4122023800723554,145.0
Кюстендил,1,0.6238267464297256,0.5129381367322535,37.0
Кюстендил,1,0.4553016774688603,0.4417265426848111,87.0
Ловеч,1,0.5694474611310492,0.4731804607446392,56.0
Монтана,1,0.6393192504377618,0.4963479595510024,46.0
Пазарджик,1,0.8625466869184685,0.4707432678602429,61.0
Пазарджик,1,0.4265473353545689,0.4183033232214628,129.0
Перник,1,0.5530246317941151,0.46834185998135613,63.0
Плевен,1,0.7051182825338854,0.5071034100211849,40.0
Пловдив,1,0.9297006672492808,0.7183871198386087,3.0
Пловдив,1,0.617559465817011,0.5661184882505541,20.0
Разград,1,0.61087128507785,0.4567603669636079,72.0
Русе,1,0.7886592265555699,0.6201491834394656,11.0
Русе,1,0.5474851918436775,0.502945852178771,42.0
Силистра,1,0.5220932144296925,0.4568713885774015,71.0
Сливен,1,0.6525844819380083,0.5131269063269756,36.0
Сливен,1,0.4610357714306171,0.4374164593922539,92.0
Смолян,1,0.5597382294026448,0.4452949879800146,84.0
София област,1,0.5617969093642153,0.4832671291829606,51.0
София област,1,0.44623899728364336,0.4127384358022098,142.0
София-град,1,0.9477873355688599,0.8193096966313662,1.0
София-град,1,0.7607572411369583,0.7390106107253146,2.0
София-град,1,0.7125853915073304,0.7001039465557081,4.0
София-град,1,0.6838789289577923,0.6699954615653113,7.0
София-град,1,0.6599959192151089,0.6506707859244337,8.0
София-град,1,0.6423868807038944,0.6316913725643803,10.0
